iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,XPTOT_o,emotenss f,Remoteness,,
ABW,YEM,12205.73349,0,0,,1.21E+11,216703.3281,12145.28576,38357160,1.63E+07,1.00E-07,,
ABW,YUG,9097.524951,0,0,,90689783583,1180.660034,9068.978358,34500016,1.62E+07,1.00E-07,,
ABW,ZAF,11325.09004,1,0,,1.14E+11,11198.2002,11413.32867,40571448,1.60E+07,9.92E-08,,
ABW,ZMB,11237.00208,1,0,,1.13E+11,4450.5,11250.15374,40857160,1.62E+07,9.99E-08,,
ABW,ZWE,11528.00564,1,0,,1.16E+11,2606.800049,11583.48884,45500020,1.61E+07,9.95E-08,,
ADEN,AGO,,0,0,,42552710413,929.1799927,4255.271041,44357164,0.00E+00,0,,
ADEN,ANT,,1,0,,1.22E+11,7755,12223.26609,44035732,0.00E+00,0,,
ADEN,ARE,,1,0,9787097,16292641138,1270,1629.264114,47750020,0.00E+00,0,,
ADEN,ARG,,0,0,,1.20E+11,2060,12026.04127,52750024,0.00E+00,0,,
ADEN,AUS,,1,0,,1.23E+11,357.9200134,12278.15176,58535740,0.00E+00,0,,
ADEN,AUSVIC,,1,0,,1.17E+11,78.09999847,11739.42245,79571464,0.00E+00,0,,
ADEN,AUT,,0,0,,47451595911,21376,4745.159591,76832176,0.00E+00,0,,
ADEN,AUTHUN,,0,0,,47455029592,1133.699951,4745.502959,82789320,0.00E+00,0,,
ADEN,BDI,,0,0,,24937052526,74.40000153,2493.705253,88052584,0.00E+00,0,,
ADEN,BEL,,0,0,,55959044558,9440,5595.904456,119470936,0.00E+00,0,,
ADEN,BEN,,0,0,,47179452094,2637.459961,4717.945209,139156704,0.00E+00,0,,
ADEN,BGD,,0,0,,49180418632,567.3057251,4918.041863,193988912,0.00E+00,0,,
ADEN,BGR,,0,0,,39283473782,1463.699951,3928.347378,209378416,0.00E+00,0,,
ADEN,BHR,,1,0,,16055920229,283.3999939,1605.592023,223015072,0.00E+00,0,,
ADEN,BHS,,1,0,36210768,1.25E+11,3472,12485.09772,327418432,0.00E+00,0,,
ADEN,BLZ,,1,0,,1.39E+11,3633.800049,13874.25508,598287616,0.00E+00,0,,
ADEN,BMU,,1,0,,1.10E+11,406109.8125,11039.38215,441769024,0.00E+00,0,,
ADEN,BOL,,0,0,,1.28E+11,899.7999878,12845.04916,353978784,0.00E+00,0,,
ADEN,BRA,,0,0,,1.07E+11,4374.879883,10736.93238,430470752,0.00E+00,0,,
ADEN,BRB,,1,0,,1.12E+11,400.3999939,11224.97394,481257856,0.00E+00,0,,
ADEN,BRN,,0,0,191300992,77120929400,12906.41602,7712.09294,557657536,0.00E+00,0,,
ADEN,CAF,,0,0,,30508750515,703.7999878,3050.875052,656675904,0.00E+00,0,,
ADEN,CAN,,1,0,,1.12E+11,1514.199951,11239.27953,753570880,0.00E+00,0,,
ADEN,CHE,,0,0,,51225223113,40.5,5122.522311,804237696,0.00E+00,0,,
ADEN,CHL,,0,0,,1.32E+11,1522.199951,13158.50058,1278248192,0.00E+00,0,,
ADEN,CIV,,0,0,,54423698421,4022.300049,5442.369842,1596334592,0.00E+00,0,,
ADEN,CMR,,1,0,,38122089786,326.8200073,3812.208979,1878726400,0.00E+00,0,,
ADEN,COD,,0,0,86072168,37922983434,12955,3792.298343,1169249152,0.00E+00,0,,
ADEN,COG,,0,0,,37935656822,37.79999924,3793.565682,1501700480,0.00E+00,0,,
ADEN,COL,,0,0,,1.30E+11,3446.860107,13017.89192,1555068928,0.00E+00,0,,
ADEN,CPV,,0,0,,73735381375,205.1000061,7373.538138,1937988992,0.00E+00,0,,
ADEN,CRI,,0,0,,1.39E+11,1099.549072,13854.82349,2337383168,0.00E+00,0,,
ADEN,CUB,,0,0,,1.30E+11,787.5,13038.32823,1941576704,0.00E+00,0,,
ADEN,CYM,,1,0,,1.31E+11,19312.71484,13148.4721,2212488448,0.00E+00,0,,
ADEN,CYP,,0,0,39520748,27521181160,2610,2752.118116,2117821056,0.00E+00,0,,
