iso_o,iso_d,Distw,Dist_coord,Evercol,Comlang,Contig
AFG,MDV,3505.54149,3405.273104,0,0,0
AFG,MEX,13588.66571,13888.00476,0,0,0
AFG,MKD,4105.127705,4193.70138,0,0,0
AFG,MLI,7857.143445,8048.429186,0,0,0
AFG,MLT,4819.005389,4900.782566,0,0,0
AFG,MMR,3339.196492,3328.106179,0,0,0
AFG,MNG,3424.311352,3445.656542,0,0,0
AFG,MOZ,7120.936856,5567.963518,0,0,0
AFG,MRT,8257.594051,8445.211049,0,0,0
AFG,MTQ,12354.09908,12435.9213,0,0,0
AFG,MUS,6225.654128,6205.894237,0,0,0
AFG,MWI,6533.962898,6562.619932,0,0,0
AFG,MYS,5078.320227,4844.12834,0,0,0
AFG,NCL,12087.35444,12026.60267,0,0,0
AFG,NER,6687.471188,7071.439092,0,0,0
AFG,NGA,7004.980828,7388.234027,0,0,0
AFG,NIC,14136.3158,14213.14357,0,0,0
AFG,NLD,5264.187044,5352.716416,0,0,0
AFG,NOR,5018.427159,5007.05211,0,0,0
AFG,NPL,1774.077193,1711.9268,0,0,0
AFG,NRU,10847.90468,10751.8606,0,0,0
AFG,NZL,13647.263,13646.58696,0,0,0
AFG,OMN,1681.850673,1590.316436,0,0,0
AFG,PAK,805.9721989,1096.794637,0,0,1
AFG,PAN,14141.72409,14162.71455,0,0,0
AFG,PER,15599.54926,15787.22383,0,0,0
AFG,PHL,5863.215579,5617.983014,0,0,0
AFG,PNG,9495.275732,9523.878836,0,0,0
AFG,POL,4291.677743,4259.631666,0,0,0
AFG,PRK,5114.417741,4982.21372,0,0,0
AFG,PRT,6694.28915,6782.896473,0,0,0
AFG,PRY,14711.02313,14843.41337,0,0,0
AFG,PYF,15826.68693,15743.49193,0,0,0
AFG,QAT,1926.807106,1981.796536,0,1,0
AFG,REU,6359.583713,6329.970597,0,0,0
AFG,ROM,3782.032176,3808.114677,0,0,0
AFG,RUS,3061.364235,3365.342692,0,0,0
AFG,RWA,5715.021484,5749.094481,0,0,0
AFG,SAU,2702.498021,2426.238695,0,0,0
AFG,SDN,4236.655551,4211.206963,0,0,0
AFG,SEN,8659.624091,8783.990541,0,0,0
AFG,SGP,5248.136904,5156.634097,0,0,0
AFG,SHN,9896.132604,9682.737711,0,0,0
AFG,SLB,10742.30946,10671.47223,0,0,0
AFG,SLE,8644.45523,8780.672798,0,0,0
AFG,SLV,14129.14688,14185.69268,0,0,0
AFG,SOM,4221.252647,4375.562927,0,0,0
AFG,SPM,9389.558024,9454.291949,0,0,0
AFG,STP,7424.89165,7497.310265,0,0,0
AFG,SUR,12516.16532,12658.88766,0,0,0
AFG,SVK,4289.401773,4504.985625,0,0,0
AFG,SVN,4607.868349,4711.102375,0,0,0
AFG,SWE,4644.212326,4590.26732,0,0,0
AFG,SWZ,7837.530973,7870.54235,0,0,0
AFG,SYC,4587.469635,4584.494048,0,0,0
AFG,SYR,2832.413155,3017.899236,0,0,0
AFG,TCA,12445.23527,12508.53033,0,0,0
AFG,TCD,5855.769445,5976.469885,0,0,0
AFG,TGO,7463.657621,7606.285756,0,0,0
AFG,THA,4011.002729,3901.433189,0,0,0
AFG,TJK,498.4332361,446.4874926,0,0,1
AFG,TKM,953.3536919,1039.019418,0,0,1
AFG,TON,13716.50328,13617.5949,0,0,0
AFG,TTO,12721.01163,12788.74899,0,0,0
AFG,TUN,5183.573717,5249.622199,0,0,0
AFG,TUR,3249.258177,3246.257457,0,0,0
AFG,TWN,5189.498738,5115.435334,0,0,0
AFG,TZA,5617.330747,5565.297052,0,0,0
AFG,UGA,5307.030691,5376.304857,0,0,0
AFG,UKR,3272.287431,3573.675677,0,0,0
AFG,URY,15000.65536,15083.09745,0,0,0
AFG,USA,11626.57895,11937.23064,0,0,0
AFG,USSR,,3365.342692,0,0,1
