value predictor(x_i),resource consumption(x_i),def_value1,value predictor(x_change),resource consumption(x_change),def_value2,diff_1,change_1,change_1  pct,diff_2,change_2,change_2 pct,,Employee,dc1 diff,dc1 ,dc1 pct,dc2 diff
-15499,27504,-0.563518034,-8895.2896,23653.44,-0.376067481,6603.7104,0.426073321,42.60733209,0.187450553,0.332643396,33.26433963,,125,0.187450553,0.332643396,33.26433963,
-19444.375,32396,-0.600209131,-12312.71956,31748.08,-0.387825644,7131.65544,0.366772161,36.67721611,0.212383487,0.353849144,35.3849144,,126,0.212383487,0.353849144,35.3849144,
-19772.75,27789,-0.711531541,-13655.27954,27233.22,-0.50141994,6117.47046,0.309388955,30.9388955,0.210111601,0.295294852,29.5294852,,127,0.210111601,0.295294852,29.5294852,
-13450.58118,20443,-0.657955348,-9359.282701,20034.14,-0.467166682,4091.298476,0.304172617,30.41726169,0.190788666,0.289972058,28.99720581,,128,0.190788666,0.289972058,28.99720581,
-25562.125,32554,-0.785222246,-18397.5805,31902.92,-0.576673875,7164.5445,0.280279691,28.02796912,0.208548371,0.265591522,26.55915216,,129,0.208548371,0.265591522,26.55915216,
-32106.25,38098,-0.842727965,-23720.32011,37336.04,-0.635319657,8385.92989,0.261193066,26.11930664,0.207408308,0.246115374,24.61153739,,130,0.207408308,0.246115374,24.61153739,
-21302,23284,-0.914877169,-21302,23284,-0.914877169,0,0,0,0,0,0,,131,0,0,0,
-16423,24364,-0.674068297,-10572.22904,23389.44,-0.452008643,5850.77096,0.356254701,35.62547013,0.222059654,0.329431981,32.94319806,,132,0.222059654,0.329431981,32.94319806,
-20051,27037,-0.741613345,-14099.07482,26496.26,-0.532115658,5951.92518,0.296839319,29.68393187,0.209497687,0.282489101,28.24891008,,133,0.209497687,0.282489101,28.24891008,
-13902.5,26848,-0.517822557,-9068.185959,24700.16,-0.367130657,4834.314041,0.347729836,34.77298357,0.1506919,0.291010691,29.1010691,,134,0.1506919,0.291010691,29.1010691,
-15644,31571,-0.495518039,-9960.06574,29676.74,-0.335618594,5683.93426,0.363329983,36.33299834,0.159899445,0.322691472,32.26914717,,135,0.159899445,0.322691472,32.26914717,
-8726.957925,14685,-0.594277012,-5200.502025,14097.6,-0.368892721,3526.4559,0.404087648,40.40876478,0.225384291,0.379257966,37.92579664,,136,0.225384291,0.379257966,37.92579664,
-9847.834192,16825,-0.58530961,-6143.978692,16488.5,-0.372622051,3703.8555,0.376108637,37.61086375,0.212687559,0.363376161,36.33761607,,137,0.212687559,0.363376161,36.33761607,
-33228,40175,-0.827081518,-25187.6969,39371.5,-0.639744406,8040.3031,0.24197373,24.197373,0.187337112,0.226503806,22.65038061,,138,0.187337112,0.226503806,22.65038061,
-29414,36342,-0.809366573,-22867.93359,35615.16,-0.642084258,6546.066408,0.222549344,22.25493441,0.167282315,0.206683004,20.66830042,,139,0.167282315,0.206683004,20.66830042,
