Expected Tenure 1,Expected Tenure 2,,,,,
8.442248381,8.284602278,,,,,
4.018926493,4.614211182,,,,,
14,78.83764654,,,,,
8.167095077,8.449961734,,,,,
1.135373541,1.011116703,,,,,
7,2.005271476,,,,,
20.75,64.07560558,,,,,
3.014527782,3.534794285,,,,,
2,2,,,,,
3,2.112185454,,,,,
7.041800779,44.24294989,,,,,
2,0.216396729,,,,,
2.59,2.155151367,,,,,
3.001435155,3.123765449,,,,,
2,2,,,,,
4,2.061892973,,,,,
6.125,84.97106943,,,,,
7,4.26976652,,,,,
0.01,0.233073869,,,,,
7,7,,,,,
2.052375977,2.131809145,,,,,
0.178600632,0.178600632,,,,,
8.495955827,38.25776781,,,,,
4,2.237364216,,,,,
2,0.582294951,,,,,
9,66.11347869,,,,,
7,7,,,,,
8,7,,,,,
7,7,,,,,
2,15,,,,,
2.076150875,42.428746,,,,,
2.40775683,2.022085334,,,,,
7,7,,,,,
12,83.23020074,,,,,
7,7,,,,,
4.355929251,35.51348562,,,,,
6,9,,,,,
0.03,0.619398125,,,,,
10,10,,,,,
2.009580839,2.661942863,,,,,
9.7823957,12,,,,,
2.00697573,61.94057918,,,,,
10,10,,,,,
5.25,16.04062447,,,,,
7,92.0405655,,,,,
8,82.83091422,,,,,
3,2.136030441,,,,,
2.215890155,38.28039229,,,,,
8,32.5,,,,,
6.1,7,,,,,
8,10,,,,,
7,53.08864888,,,,,
15,102.7607991,,,,,
10.625,69.24397745,,,,,
4,94.53817207,,,,,
7,10,,,,,
15.625,33.31630111,,,,,
15,82.16917719,,,,,
11,38.25616492,,,,,
4,87.2455669,,,,,
8,7,,,,,
9,9,,,,,
7,7,,,,,
8,4.25717851,,,,,
2.35971929,2.679005041,,,,,
7,12,,,,,
7,10,,,,,
3.114084575,3.401515002,,,,,
2.13,86.20585813,,,,,
4,2.015358001,,,,,
4,4,,,,,
7,2.092530089,,,,,
8.875,9,,,,,
8,8,,,,,
6.592386744,10,,,,,
15,12.57081832,,,,,
2.097141279,2.097141279,,,,,
8.090087363,64.06138381,,,,,
4,3.27449286,,,,,
15,15,,,,,
2.082327799,51.02000406,,,,,
7,7,,,,,
10,15,,,,,
15,12.78937067,,,,,
13,26.125,,,,,
7,7,,,,,
3,3,,,,,
5.092951273,5.334173385,,,,,
2,0.738513836,,,,,
2.06,2.334212826,,,,,
3.02590813,3.301235732,,,,,
7,14,,,,,
7.12,7.033518933,,,,,
2,2,,,,,
2.097274443,82.03481654,,,,,
5,52.44334188,,,,,
2.672980699,2.023518838,,,,,
7,2.010895474,,,,,
0.309497414,0.023333189,,,,,
7,7,,,,,
7,41.72610032,,,,,
3,2.377833395,,,,,
10.28685344,37.44754204,,,,,
7,0.914649583,,,,,
11,41.17758531,,,,,
7,3.199398929,,,,,
9,78.31515391,,,,,
8.22,48.74860269,,,,,
4.51,6.25,,,,,
9,10.12889223,,,,,
4,3.022994754,,,,,
8.274581152,72.69583048,,,,,
4,4,,,,,
7.04,7.271961284,,,,,
2.08,2.143191121,,,,,
7,7,,,,,
3,3.081548964,,,,,
2.626264084,2.270846371,,,,,
2.02,2.053394222,,,,,
2,0.377148728,,,,,
2.108885679,2.025924701,,,,,
7.625,7.5,,,,,
8,7.405102075,,,,,
8,8,,,,,
2,0.556230298,,,,,
7,7,,,,,
2.292112583,2.032964342,,,,,
4.151279585,7,,,,,
8,29.02514342,,,,,
4,10,,,,,
10,10,,,,,
2,0.798948462,,,,,
7,91.20509055,,,,,
2.039873068,9,,,,,
